Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
Beautiful Suite at Rio Stay Residénce,Entire home/apt,Entire home/apt,Real Bed,2,1124,26,2,1,1,1,108,0,90,2,Alexander,"Niterói, State of Rio de Janeiro, Brazil",100,2,"Jacarepagua, Rio de Janeiro, Brazil",Barra da Tijuca,Jacarepaguá,Rio De Janeiro,Brazil,BR,-43.413896463087376,-22.97404368109086,17,43,68,84,9,9,9,9,9,9,90
DB RIBEIRA - Grey Apartment,Entire home/apt,Entire home/apt,Real Bed,1,1125,3,2,1,1,1,50,0,10,1,Daniela &  Tiago,"Porto, Porto District, Portugal",20,5,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61294,41.14126,29,59,89,179,9,9,9,9,10,9,93
LE VOYAGEUR,Entire home/apt,Entire home/apt,Real Bed,1,60,22,2,1,1,1,64,300,65,2,Alexia,"Montreal, Quebec, Canada",100,4,"Montréal, Québec, Canada",Le Plateau,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.58108,45.51868,0,0,1,273,10,10,10,10,10,9,97
Grand luxe a bas prix,Shared room,Shared room,Real Bed,30,1125,1,2,1,1,1,81,0,0,1,Sindy,"Montreal, Québec, Canada",0,2,"Montréal, Québec, Canada",Griffintown,Ville-Marie,Montreal,Canada,CA,-73.55701,45.49919,30,60,90,365,8,8,10,10,8,8,60
Le nid douillet.,Private room,Private room,Real Bed,30,90,0,4,2,3,1,21,0,0,1,Lucie,"Montreal, Quebec, Canada",100,2,"Montréal, Québec, Canada",Villeray-Saint-Michel-Parc-Extension,Villeray-Saint-Michel-Parc-Extension,Montreal,Canada,CA,-73.61791,45.54669,0,0,0,253,0,0,0,0,0,0,0
Dualist 1,Private room,Private room,Real Bed,1,1125,32,3,1,2,1,295,0,60,1,Selim,"Istanbul, TURKEY",100,8,"Istanbul , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,28.96944,41.00495,30,60,90,365,9,10,10,10,9,9,93
BARCELONA FIRA FAMILY,Entire home/apt,Entire home/apt,Real Bed,1,1125,10,5,4,4,1,83,200,60,4,Priority Villas,"Palma, Balearic Islands, Spain",99,70,"Barcelona, Barcelona, Spain",Sants-Montjuïc,el Poble Sec,Barcelona,Spain,ES,2.15611,41.37384,0,0,0,17,9,10,9,9,10,9,86
Hawaiian Escape,Entire home/apt,Entire home/apt,Real Bed,2,30,19,8,2,4,2,100,200,75,4,Doug,"Pāhoa, Hawaii, United States",100,1,"Pāhoa, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,-154.89644,19.55948,24,54,84,359,10,9,10,10,10,10,95
UD Rambla Suites  Pool 27 (2 BR),Entire home/apt,Entire home/apt,Real Bed,1,1125,3,6,2,2,2,175,300,68,2,Lorenzo,"Barcelona, Catalonia, Spain",97,32,"Barcelona, Spain",El Poblenou,el Poblenou,Barcelona,Spain,ES,2.20727,41.39763,7,18,34,204,9,10,10,9,9,9,93
"Cozy Flat, São João da Madeira",Entire home/apt,Entire home/apt,Real Bed,2,1125,4,4,2,2,2,45,100,15,1,Telma,"Aveiro, Aveiro District, Portugal",100,1,"São João da Madeira, Aveiro, Portugal",,São João da Madeira,Porto,Portugal,PT,-8.48714,40.895,0,0,0,0,10,10,10,10,9,9,95
