Hotel_Name,Property_type,Room_type,Bed_type,Min_nights,Max_nights,No_of_reviews,Accomodates,Bedrooms,Beds,Bathrooms,Price,Security_deposit,Cleaning_fee,Guests,Host_name,Host_location,Host_response,Host_total_listings,Street,Suburb,Gov_area,Market,Country,Coun_code,Longitude,Latitude,Availability_30,Availability_60,Availability_90,Availability_365,Accuracy_score,Clean_score,Checkin_score,Communication_score,Location_score,Value_score,Rating
New York City - Upper West Side Apt,Private room,Private room,Real Bed,12,360,70,2,1,1,1,135,0,135,1,Greta,"New York, New York, United States",100,3,"New York, NY, United States",Manhattan,Upper West Side,New York,United States,US,-73.96523,40.79962,0,0,0,93,10,9,10,10,10,10,94
Double and triple rooms Blue mosque,Private room,Private room,Real Bed,1,1125,29,3,1,2,1,121,0,0,1,Mehmet Emin,"Istanbul, İstanbul, Turkey",100,2,"Fatih , İstanbul, Turkey",Fatih,Fatih,Istanbul,Turkey,TR,28.98009,41.0062,30,60,90,365,9,9,10,10,10,9,92
"Soho Cozy, Spacious and Convenient",Entire home/apt,Entire home/apt,Real Bed,4,20,3,3,1,2,1,699,0,0,1,Giovanni,"Hong Kong, Hong Kong",0,1,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.15027,22.28158,0,0,0,0,10,10,10,10,10,8,100
City center private room with bed,Private room,Private room,Futon,1,500,81,1,1,1,1,181,0,50,1,Yi,United States,100,2,"Hong Kong , 九龍, Hong Kong",Sham Shui Po District,Sham Shui Po,Hong Kong,Hong Kong,HK,114.1669,22.3314,14,24,40,220,10,8,10,10,10,10,92
Surry Hills Studio - Your Perfect Base in Sydney,Entire home/apt,Entire home/apt,Real Bed,10,21,64,2,0,1,1,181,300,50,1,Ben,"New South Wales, Australia",0,1,"Surry Hills, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,151.21554,-33.88029,0,0,0,0,10,9,10,10,10,9,95
Downtown Oporto Inn (room cleaning),Private room,Private room,Real Bed,1,1125,0,2,1,1,1,40,0,50,2,Elisabete,"Porto, Porto, Portugal",0,2,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.60867,41.1543,30,60,87,359,0,0,0,0,0,0,0
Easy 1 Bedroom in Chelsea,Entire home/apt,Entire home/apt,Real Bed,2,1125,1,2,1,1,1,145,0,60,1,Scott,"New York, New York, United States",0,1,"New York, NY, United States",Manhattan,Chelsea,New York,United States,US,-74.00074,40.74577,0,0,0,0,10,10,10,10,10,10,100
A bedroom far away from home,Private room,Private room,Real Bed,1,10,239,2,1,1,1,45,0,0,1,Lane,US,100,1,"Queens, NY, United States",Queens,Briarwood,New York,United States,US,-73.82257,40.71485,20,29,29,34,10,10,10,10,9,10,95
Private Room in Bushwick,Private room,Private room,Real Bed,14,1125,1,1,1,1,1,40,0,0,1,Josh,"New York, New York, United States",0,1,"Brooklyn, NY, United States",Brooklyn,Bushwick,New York,United States,US,-73.93615,40.69791,0,0,0,0,10,10,10,10,8,8,100
Copacabana Apartment Posto 6,Entire home/apt,Entire home/apt,Real Bed,3,75,70,4,1,3,2,119,600,150,3,Ana Valéria,"Rio de Janeiro, State of Rio de Janeiro, Brazil",100,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.190849194463404,-22.984339360067814,7,19,33,118,10,10,10,10,10,10,98
Ligne verte - à 15 min de métro du centre ville.,Entire home/apt,Entire home/apt,Real Bed,2,1125,0,2,0,1,1,43,0,0,1,Caro,"Montreal, Quebec, Canada",100,1,"Montréal, Québec, Canada",Hochelaga-Maisonneuve,Mercier-Hochelaga-Maisonneuve,Montreal,Canada,CA,-73.54949,45.54548,0,0,0,32,0,0,0,0,0,0,0
Apartamento zona sul do RJ,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,5,3,3,1,933,0,0,1,Luiz Rodrigo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,-43.1825954762751,-22.930541460367934,30,60,90,365,0,0,0,0,0,0,0
Horto flat with small garden,Entire home/apt,Entire home/apt,Real Bed,2,1125,0,4,1,2,1,317,0,187,1,Ynaie,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,-43.23074991429229,-22.966253551739655,0,0,0,0,0,0,0,0,0,0,0
3 chambres au coeur du Plateau,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,6,3,3,1,140,0,0,1,Margaux,"Montreal, Quebec, Canada",0,2,"Montréal, Québec, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.57383,45.52233,0,0,0,0,0,0,0,0,0,0,0
GOLF ROYAL RESİDENCE TAXİM(1+1):3,Entire home/apt,Entire home/apt,Real Bed,1,1125,3,4,2,4,1,838,0,0,1,Ahmet,"Istanbul, İstanbul, Turkey",100,16,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,28.98713,41.04841,30,60,90,365,7,7,8,8,10,7,67
Be Happy in Porto,Entire home/apt,Entire home/apt,Real Bed,2,1125,178,2,1,1,1,30,0,10,1,Fábio,"São Félix da Marinha, Porto, Portugal",90,3,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61123,41.15225,16,40,67,335,10,10,10,10,10,10,97
A Casa Alegre é um apartamento T1.,Entire home/apt,Entire home/apt,Real Bed,7,180,12,2,1,1,1,40,250,15,2,Manuela,"Porto, Porto District, Portugal",100,1,"Vila do Conde, Porto, Portugal",,Vila do Conde,Porto,Portugal,PT,-8.75383,41.3596,0,0,0,46,10,10,10,10,9,10,96
2 bedroom Upper east side,Entire home/apt,Entire home/apt,Real Bed,2,7,9,5,2,2,1,275,0,35,1,Chelsea,"Sea Cliff, New York, United States",0,2,"New York, NY, United States",Upper East Side,Upper East Side,New York,United States,US,-73.95854,40.7664,0,0,0,0,9,8,10,9,9,9,90
Catete's Colonial Big Hause Room B,Private room,Private room,Real Bed,2,1125,1,8,1,8,4,250,0,0,4,Beatriz,"Rio de Janeiro, State of Rio de Janeiro, Brazil",80,5,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,-43.18015675229857,-22.92638234778768,10,10,21,296,10,6,8,8,8,8,80
Double Room en-suite (307),Private room,Private room,Real Bed,1,1125,0,2,1,1,1,361,0,0,2,Ken,Hong Kong,90,6,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17158,22.30469,30,60,90,365,0,0,0,0,0,0,0
Ótimo Apto proximo Parque Olimpico,Entire home/apt,Entire home/apt,Real Bed,15,20,0,5,2,2,2,858,4476,112,1,Jonathan,"Resende, Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,-43.4311123147628,-23.00035792660916,0,0,0,0,0,0,0,0,0,0,0
Sydney Hyde Park City Apartment (checkin from 6am),Entire home/apt,Entire home/apt,Real Bed,2,30,109,2,1,1,1,185,800,120,1,Desireé,Australia,100,1,"Darlinghurst, NSW, Australia",Darlinghurst,Sydney,Sydney,Australia,AU,151.21346,-33.87603,5,16,35,265,10,10,10,10,10,10,100
Nice room in Barcelona Center,Private room,Private room,Real Bed,1,9,0,2,1,2,1,50,100,10,1,Anna,"Barcelona, Catalonia, Spain",0,1,"Barcelona, Catalunya, Spain",Eixample,la Dreta de l'Eixample,Barcelona,Spain,ES,2.16942,41.40082,0,0,0,0,0,0,0,0,0,0,0
The LES Apartment,Entire home/apt,Entire home/apt,Real Bed,3,1125,0,3,1,1,1,150,200,0,1,Mert,"New York, New York, United States",0,1,"New York, NY, United States",Manhattan,Lower East Side,New York,United States,US,-73.98944,40.72063,0,0,0,0,0,0,0,0,0,0,0
Room Close to LGA and 35 mins to Times Square,Private room,Private room,Real Bed,2,1125,123,2,1,1,1,46,0,15,1,Cheer,"New York, New York, United States",100,1,"Queens, NY, United States",Queens,Jackson Heights,New York,United States,US,-73.88025,40.74953,30,60,90,365,10,10,10,10,9,10,99
Apt Linda Vista Lagoa - Rio,Private room,Private room,Real Bed,1,1125,0,2,1,1,2,701,1000,250,1,Livia,BR,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Lagoa,Lagoa,Rio De Janeiro,Brazil,BR,-43.205047082633435,-22.971950988341874,28,58,88,363,0,0,0,0,0,0,0
Ribeira Charming Duplex,Entire home/apt,Entire home/apt,Real Bed,2,30,51,8,3,5,1,80,200,35,6,Ana&Gonçalo,"Porto, Porto District, Portugal",100,3,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61308,41.1413,28,47,74,239,9,9,10,10,10,9,89
Charming Flat in Downtown Moda,Entire home/apt,Entire home/apt,Real Bed,2,1125,1,6,2,6,1,527,0,211,1,Zeynep,"Istanbul, Istanbul, Turkey",0,2,"Kadıköy, İstanbul, Turkey",Moda,Kadikoy,Istanbul,Turkey,TR,29.03133,40.98585,27,57,87,362,10,10,10,10,10,10,100
Ocean View Waikiki Marina w/prkg,Entire home/apt,Entire home/apt,Real Bed,3,365,96,2,1,1,1,115,0,100,1,David,"Honolulu, Hawaii, United States",98,18,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,-157.83919,21.28634,16,46,76,343,9,8,9,9,10,9,84
GOLF ROYAL RESIDENCE SUİTES(2+1)-2,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,6,2,5,2,997,0,0,1,Ahmet,"Istanbul, İstanbul, Turkey",100,16,"Şişli, İstanbul, Turkey",Şişli,Sisli,Istanbul,Turkey,TR,28.98818,41.04772,30,60,90,365,0,0,0,0,0,0,0
THE Place to See Sydney's FIREWORKS,Entire home/apt,Entire home/apt,Real Bed,2,1125,0,2,1,1,2,250,400,150,1,Kristin,"Sydney, New South Wales, Australia",0,1,"Rozelle, NSW, Australia",Lilyfield/Rozelle,Leichhardt,Sydney,Australia,AU,151.17956,-33.86296,0,0,0,0,0,0,0,0,0,0,0
Modern Spacious 1 Bedroom Loft,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,4,1,2,1,50,0,0,1,Konstantin,"Montreal, Quebec, Canada",0,1,"Montréal, Québec, Canada",Mile End,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.59111,45.51889,0,0,0,0,0,0,0,0,0,0,0
Deluxe Loft Suite,Entire home/apt,Entire home/apt,Real Bed,3,1125,5,4,0,2,1,205,0,0,1,Mae,US,100,13,"Brooklyn, NY, United States",Greenpoint,Greenpoint,New York,United States,US,-73.94472,40.72778,30,31,31,243,9,10,10,8,9,9,88
Cozy house at Beyoğlu,Private room,Private room,Pull-out Sofa,2,1125,27,2,1,1,1,58,0,0,1,Ali,İstanbul,100,8,"Beyoğlu, İstanbul, Turkey",Beyoglu,Beyoglu,Istanbul,Turkey,TR,28.95825,41.03777,3,19,37,37,10,9,10,10,9,10,99
Quarto inteiro na Tijuca,Private room,Private room,Real Bed,1,15,1,1,1,1,2,149,0,30,1,Gilberto,"Rio, Rio de Janeiro, Brazil",0,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Tijuca,Tijuca,Rio De Janeiro,Brazil,BR,-43.247421907135774,-22.936203246553816,28,58,88,178,8,10,10,10,10,10,100
"Cozy Nest, heart of the Plateau",Private room,Private room,Real Bed,2,120,62,1,1,1,1,34,0,25,1,Lilou,"Montreal, Quebec, Canada",100,1,"Montreal, QC, Canada",Le Plateau-Mont-Royal,Le Plateau-Mont-Royal,Montreal,Canada,CA,-73.58774,45.52028,0,0,0,0,10,9,10,10,10,10,98
Cozy double bed room 東涌鄉村雅緻雙人房,Private room,Private room,Real Bed,1,1125,162,2,1,1,1,487,0,0,1,Ricky,Hong Kong,100,5,"Hong Kong, New Territories, Hong Kong",,Islands,Hong Kong,Hong Kong,HK,113.92823,22.27671,18,41,67,339,10,10,10,10,9,9,96
"Kailua-Kona, Kona Coast II 2b condo",Entire home/apt,Entire home/apt,Real Bed,7,7,1,6,2,3,2,135,200,0,1,Daniel,"Las Vegas, Nevada, United States",0,1,"Kailua-Kona, HI, United States",Kailua/Kona,North Kona,The Big Island,United States,US,-155.96445,19.5702,0,13,43,196,10,8,10,10,10,10,100
"LAHAINA, MAUI! RESORT/CONDO BEACHFRONT!! SLEEPS 4!",Entire home/apt,Entire home/apt,Real Bed,1,1125,1,4,1,2,1,499,0,99,1,Holly,"Las Vegas, Nevada, United States",91,472,"Lahaina, HI, United States",Maui,Lahaina,Maui,United States,US,-156.68012,20.96996,30,60,90,365,10,10,10,8,10,10,100
Roof double bed private room,Private room,Private room,Real Bed,1,1125,0,2,1,2,1,185,0,0,1,Mustafa,"Istanbul, İstanbul, Turkey",0,1,"Istanbul, İstanbul, Turkey",,Sariyer,Istanbul,Turkey,TR,29.03693,41.12452,30,60,90,365,0,0,0,0,0,0,0
"Big, Bright & Convenient Sheung Wan",Entire home/apt,Entire home/apt,Real Bed,2,1125,1,2,0,1,1,966,0,118,1,Regg,Hong Kong,0,1,"Hong Kong, Hong Kong Island, Hong Kong",Central & Western District,Central & Western,Hong Kong,Hong Kong,HK,114.15007,22.28422,0,0,0,0,10,10,10,10,10,10,100
Apto semi mobiliado,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,2,2,2,1,380,0,0,1,Ricardo,BR,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Vila Isabel,Vila Isabel,Rio De Janeiro,Brazil,BR,-43.24277868091869,-22.915009354482486,30,60,90,365,0,0,0,0,0,0,0
Twin Bed room+MTR Mongkok shopping&My,Private room,Private room,Real Bed,1,500,22,3,1,2,1,400,0,0,1,Danny,Hong Kong,97,29,"Hong Kong, Kowloon, Hong Kong",Mong Kok,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17073,22.31723,30,60,90,145,8,9,9,9,10,9,83
Cozy Queen Guest Room&My,Private room,Private room,Real Bed,1,500,9,2,1,1,1,330,0,0,1,Danny,Hong Kong,97,29,"Hong Kong, Kowloon, Hong Kong",Yau Tsim Mong,Yau Tsim Mong,Hong Kong,Hong Kong,HK,114.17034,22.31655,20,50,80,135,8,7,9,8,10,8,73
Uygun nezih daire,Entire home/apt,Entire home/apt,Real Bed,1,1125,0,4,1,2,1,264,527,26,1,Yaşar,"Istanbul, Turkey",100,1,"Zeytinburnu, İstanbul, Turkey",,Zeytinburnu,Istanbul,Turkey,TR,28.89964,40.99667,30,60,90,365,0,0,0,0,0,0,0
Ipanema: moderno apê 2BR + garagem,Entire home/apt,Entire home/apt,Real Bed,4,1125,24,4,2,2,2,298,600,180,2,Barbara,"Rio de Janeiro, State of Rio de Janeiro, Brazil",92,13,"Rio de Janeiro, Rio de Janeiro, Brazil",,Ipanema,Rio De Janeiro,Brazil,BR,-43.1998455458952,-22.980051683700506,24,54,84,174,9,10,10,10,10,9,92
Great studio opp. Narrabeen Lake,Entire home/apt,Entire home/apt,Real Bed,1,1125,61,2,0,1,1,117,0,0,1,Tracy,"New South Wales, Australia",100,1,"Narrabeen, NSW, Australia",,Warringah,Sydney,Australia,AU,151.29792,-33.71472,0,0,25,26,10,10,10,10,10,10,97
Your spot in Copacabana,Entire home/apt,Entire home/apt,Real Bed,2,15,8,6,2,5,2,798,500,150,4,Ana Lúcia,"Rio de Janeiro, State of Rio de Janeiro, Brazil",100,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Copacabana,Copacabana,Rio De Janeiro,Brazil,BR,-43.17714541632985,-22.96270793328072,11,41,71,247,10,9,10,10,10,10,100
"Friendly Apartment, 10m from Manly",Private room,Private room,Real Bed,1,1125,4,2,1,1,1,36,0,0,2,Isaac,"Sydney, New South Wales, Australia",0,1,"Fairlight, NSW, Australia",Fairlight,Manly,Sydney,Australia,AU,151.26969,-33.79629,0,0,0,0,10,10,9,9,10,9,95
Cozy aptartment in Recreio (near Olympic Venues),Entire home/apt,Entire home/apt,Real Bed,2,30,0,6,3,3,3,746,0,373,4,José Augusto,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Recreio dos Bandeirantes,Recreio dos Bandeirantes,Rio De Janeiro,Brazil,BR,-43.45296045334386,-23.008710784460312,0,0,0,0,0,0,0,0,0,0,0
Resort-like living in Williamsburg,Entire home/apt,Entire home/apt,Real Bed,5,1125,1,4,2,2,1,220,0,25,1,Mohammed,"Paris, Île-de-France, France",0,1,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,-73.93869,40.71552,0,0,0,0,10,8,10,10,10,10,100
Large railroad style 3 bedroom apt in Manhattan!,Entire home/apt,Entire home/apt,Real Bed,3,6,22,9,3,4,1,180,199,59,4,Vick,"New York, New York, United States",0,1,"New York, NY, United States",Manhattan,East Harlem,New York,United States,US,-73.93943,40.79805,0,0,0,0,10,9,10,10,9,9,95
Private Room (2)  in Guest House at Coogee Beach,Private room,Private room,Real Bed,3,365,8,2,1,2,3,64,0,30,1,David,"Sydney, New South Wales, Australia",100,6,"Coogee, NSW, Australia",Coogee,Randwick,Sydney,Australia,AU,151.25541,-33.92398,0,0,19,20,10,10,10,10,10,9,100
"Amazing and Big Apt, Ipanema Beach.",Entire home/apt,Entire home/apt,Real Bed,1,1125,0,6,3,4,3,1999,0,0,1,Pedro,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,-43.20465630892734,-22.983108745795256,0,0,0,0,0,0,0,0,0,0,0
IPANEMA LUXURY PENTHOUSE with MAID,Entire home/apt,Entire home/apt,Real Bed,1,1125,29,3,1,1,1,858,1865,112,3,Cesar,"Rio de Janeiro, Rio de Janeiro, Brazil",93,3,"Rio de Janeiro, Rio de Janeiro, Brazil",Ipanema,Ipanema,Rio De Janeiro,Brazil,BR,-43.20056249420509,-22.98034625363379,18,40,70,345,10,10,10,10,10,10,99
Makaha Valley Paradise with OceanView,Entire home/apt,Entire home/apt,Pull-out Sofa,3,180,32,4,1,2,1,95,0,130,1,Ray And Lise,"Chilliwack, British Columbia, Canada",100,2,"Waianae, HI, United States",Leeward Side,Waianae,Oahu,United States,US,-158.20291,21.4818,0,3,16,246,10,10,10,10,9,9,98
Small Room w Bathroom Flamengo Rio de Janeiro,Private room,Private room,Real Bed,4,1125,1,1,1,1,1,71,0,20,1,Fernanda,BR,0,2,"Rio de Janeiro, Rio de Janeiro, Brazil",Flamengo,Flamengo,Rio De Janeiro,Brazil,BR,-43.17645081249057,-22.93848268819496,0,0,0,0,8,8,8,8,8,8,80
Cozy Art Top Floor Apt in PRIME Williamsburg!,Entire home/apt,Entire home/apt,Real Bed,2,300,117,2,1,2,1,175,300,90,2,Ade,"Brooklyn, NY",100,1,"Brooklyn, NY, United States",Williamsburg,Williamsburg,New York,United States,US,-73.96053,40.71577,28,58,88,363,10,10,10,10,10,9,96
FloresRooms 3T,Entire home/apt,Entire home/apt,Real Bed,2,1124,225,2,0,1,1,31,200,10,1,Andreia,"Porto, Porto District, Portugal",100,6,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61205,41.14404,13,43,62,278,10,10,10,10,10,10,96
UWS Brownstone Near Central Park,Entire home/apt,Entire home/apt,Real Bed,21,30,45,3,1,3,1,212,275,120,1,Chas,"San Francisco, California, United States",95,4,"New York, NY, United States",Upper West Side,Upper West Side,New York,United States,US,-73.9696,40.78558,0,3,5,5,9,9,10,10,10,9,93
~Ao Lele~ Flying Cloud,Entire home/apt,Entire home/apt,Real Bed,2,30,103,2,1,1,1,185,300,80,2,Mike,"Volcano, Hawaii, United States",100,1,"Volcano, HI, United States",Island of Hawaiʻi,Puna,The Big Island,United States,US,-155.21763,19.42151,20,45,75,165,10,10,10,10,10,10,99
Alugo Apart frente mar Barra Tijuca,Entire home/apt,Entire home/apt,Real Bed,10,90,0,4,1,2,1,933,0,0,1,Paulo Cesar,BR,0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,-43.36831676949888,-23.011117008024065,28,58,88,363,0,0,0,0,0,0,0
Bondi Beach Dreaming 3-Bed House,Entire home/apt,Entire home/apt,Real Bed,2,1125,139,8,3,6,2,399,1000,185,6,Cat,AU,100,5,"Bondi Beach, NSW, Australia",Bondi Beach,Waverley,Sydney,Australia,AU,151.27448,-33.8872,0,0,0,0,10,10,10,10,10,9,96
,Private room,Private room,Real Bed,1,1125,0,4,1,2,1,105,0,0,1,Seda,TR,0,1,"Istanbul, İstanbul, Turkey",Beşiktaş,Sariyer,Istanbul,Turkey,TR,29.05108,41.08835,0,0,0,0,0,0,0,0,0,0,0
Private OceanFront - Bathtub Beach. Spacious House,Entire home/apt,Entire home/apt,Real Bed,3,1125,32,14,4,10,4,795,1000,345,1,Noah,"Laie, Hawaii, United States",50,1,"Laie, HI, United States",Ko'olauloa,Koolauloa,Oahu,United States,US,-157.91952,21.63549,10,17,26,229,10,9,10,10,10,10,94
Panoramic Ocean View Studio in  Quiet Setting,Entire home/apt,Entire home/apt,Real Bed,2,1125,114,2,1,1,1,120,200,100,1,Andrei,"Honolulu, Hawaii, United States",100,2,"Honolulu, HI, United States",Oʻahu,Primary Urban Center,Oahu,United States,US,-157.78578,21.29561,3,26,53,323,9,9,10,10,10,9,95
PORTO DOWNTOWN FLATS-RIBEIRA STUDIO,Entire home/apt,Entire home/apt,Real Bed,2,28,62,4,0,2,1,55,150,25,2,Tim,"Porto, Porto District, Portugal",100,4,"Porto, Porto, Portugal",,"Cedofeita, Ildefonso, Sé, Miragaia, Nicolau, Vitória",Porto,Portugal,PT,-8.61279,41.14106,3,12,24,243,10,10,10,10,10,10,97
Luxury 1-Bdrm in Downtown Brooklyn,Entire home/apt,Entire home/apt,Real Bed,3,30,1,2,1,1,1,144,250,150,1,Ashley,"New York, New York, United States",0,1,"Brooklyn, NY, United States",Fort Greene,Fort Greene,New York,United States,US,-73.98102,40.69406,0,0,0,0,0,0,0,0,0,0,0
Jardim Botânico Gourmet 2 bdroom,Entire home/apt,Entire home/apt,Real Bed,2,1125,9,6,2,5,2,395,1000,300,4,Roberta (Beta) Gatti,"Rio de Janeiro, Rio de Janeiro, Brazil",98,18,"Rio de Janeiro, RJ, Brazil",Jardim Botânico,Jardim Botânico,Rio De Janeiro,Brazil,BR,-43.22076222600562,-22.96448811710617,17,47,77,342,10,9,10,10,10,9,91
luxury apartment in istanbul taxsim,Entire home/apt,Entire home/apt,Real Bed,2,1125,135,4,1,3,1,269,0,60,3,Osman,"Istanbul, Turkey",100,10,"Istanbul, Istanbul Province, Turkey",Cihangir,Beyoglu,Istanbul,Turkey,TR,28.98538,41.03326,17,36,55,317,9,9,10,10,10,9,91
Where Castles and Art meet the Sea,Entire home/apt,Entire home/apt,Real Bed,5,1125,13,4,1,2,1,80,500,30,1,Jose,"Porto, Porto District, Portugal",100,1,"Matosinhos, Porto, Portugal",,Matosinhos e Leça da Palmeira,Porto,Portugal,PT,-8.68887,41.17544,0,0,0,27,10,10,10,10,10,10,95
Heroísmo IV,Entire home/apt,Entire home/apt,Real Bed,1,1125,31,2,0,1,1,29,0,10,2,Apartments2Enjoy,"Porto, Porto District, Portugal",100,9,"Porto, Porto, Portugal",,Bonfim,Porto,Portugal,PT,-8.59275,41.1462,16,42,61,309,9,9,9,9,9,9,89
Cozy House in Ortaköy,Private room,Private room,Real Bed,1,1125,0,2,1,2,1,100,0,100,1,Orcun,TR,0,1,"Beşiktaş, İstanbul, Turkey",Beşiktaş,Besiktas,Istanbul,Turkey,TR,29.02519,41.05197,30,60,90,365,0,0,0,0,0,0,0
"Asia House, Garden Room, Princevile",Private room,Private room,Real Bed,3,21,167,2,1,1,1,139,200,85,2,Coral,"Princeville, Hawaii, United States",100,2,"Princeville, HI, United States",Kauaʻi,North Shore Kauai,Kauai,United States,US,-159.48653,22.22739,3,5,11,276,10,9,10,10,10,9,93
Cozy bedroom Sagrada Familia,Private room,Private room,Real Bed,2,1125,1,2,1,2,1,20,0,20,1,Rapha,"Barcelona, Catalonia, Spain",0,1,"Barcelona, Catalunya, Spain",Eixample,el Fort Pienc,Barcelona,Spain,ES,2.17963,41.40087,0,0,0,0,10,10,10,10,10,10,100
A large sunny bedroom,Private room,Private room,Real Bed,3,1125,2,1,1,1,1,35,0,0,1,Ehssan,"New York, New York, United States",0,1,"Bronx, NY, United States",Tremont,Fordham,New York,United States,US,-73.90052,40.85598,0,0,0,0,10,10,9,9,6,9,90
Serene luxury in Harlem,Private room,Private room,Real Bed,3,1125,10,1,1,1,1,80,100,50,1,Erika,"New York, New York, United States",100,1,"New York, NY, United States",Manhattan,Harlem,New York,United States,US,-73.95211,40.80708,5,35,65,339,10,10,10,10,10,10,100
Rented Room,Private room,Private room,Real Bed,1,1125,0,1,1,1,1,112,0,0,1,Jercilene,"São Gonçalo, Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Botafogo,Botafogo,Rio De Janeiro,Brazil,BR,-43.17933175178738,-22.941321220162784,30,60,90,365,0,0,0,0,0,0,0
Condomínio Praia Barra da Tijuca,Entire home/apt,Entire home/apt,Real Bed,2,1125,18,6,2,5,2,351,0,0,1,Paula,"Rio de Janeiro, State of Rio de Janeiro, Brazil",88,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Barra da Tijuca,Barra da Tijuca,Rio De Janeiro,Brazil,BR,-43.32231287289854,-23.009702689174244,22,52,82,172,10,10,10,10,10,9,95
Great location in Barcelona,Entire home/apt,Entire home/apt,Real Bed,200,1125,2,5,4,4,1,31,100,7,2,Marina E Mickael,"Portimão, Faro District, Portugal",100,3,"Barcelona, Catalunya, Spain",Sant Martí,el Clot,Barcelona,Spain,ES,2.19057,41.41254,23,53,83,358,10,8,10,10,6,8,60
Apartamento Mobiliado - Lgo do Machado,Entire home/apt,Entire home/apt,Real Bed,30,365,0,4,1,2,1,149,1000,60,2,Marcelo,"Rio de Janeiro, State of Rio de Janeiro, Brazil",100,7,"Rio de Janeiro, Rio de Janeiro, Brazil",Catete,Catete,Rio De Janeiro,Brazil,BR,-43.178886292069244,-22.931715899178695,0,11,41,316,0,0,0,0,0,0,0
Jubilee By The Sea (Ocean Views),Entire home/apt,Entire home/apt,Real Bed,2,90,45,11,4,6,2,325,500,250,8,Nate,"Kailua-Kona, Hawaii, United States",100,3,"Kailua-Kona, HI, United States",Island of Hawaiʻi,North Kona,The Big Island,United States,US,-155.97349,19.61318,11,37,48,267,10,10,10,10,10,10,98
Apt Quarto e Sala amplo Laranjeiras,Entire home/apt,Entire home/apt,Real Bed,5,1125,0,4,1,4,1,701,0,100,1,Marianna,"Rio de Janeiro, State of Rio de Janeiro, Brazil",0,1,"Rio de Janeiro, Rio de Janeiro, Brazil",Laranjeiras,Laranjeiras,Rio De Janeiro,Brazil,BR,-43.17974071338275,-22.9313871086666,0,0,0,0,0,0,0,0,0,0,0
